"UF","Comorbidades","Faixa Etária","Forças de Segurança e Salvamento","Pessoas com Deficiência","Pessoas de 60 anos ou mais institucionalizadas","Povos Indígenas","Trabalhadores da Educação","Trabalhadores de Saúde","Trabalhadores Portuários","NA","Forças Armadas (membros ativos)","Funcionário do Sistema de Privação de Liberdade","Pessoas em Situação de Rua","Povos e Comunidades Tradicionais","Trabalhadores Industriais","População Privada de Liberdade"
"AC",7,1396,33,22,546,5426,2,12195,3,236,NA,NA,NA,NA,NA,NA
"AL",2,20371,6,35,1172,7134,NA,45806,NA,109,NA,NA,NA,NA,NA,NA
"AM",210,81324,9,90,599,42224,3,77480,NA,7253,9,NA,NA,NA,NA,NA
"AP",NA,1713,3,76,1011,3939,NA,10893,NA,111,NA,NA,NA,NA,NA,NA
"BA",88,70549,169,278,6933,12945,13,161861,NA,5882,9,4,7,26,3,NA
"CE",97,33697,9,94,1843,15941,6,67515,1,7796,NA,NA,NA,NA,1,NA
"DF",184,38807,241,278,971,114,2,53734,NA,42,83,NA,1,NA,NA,6
"ES",6,15576,3,425,3447,1989,9,90205,NA,156,NA,5,2,NA,NA,6
"GO",192,37753,366,1796,9815,351,4,126498,NA,1074,11,6,NA,NA,NA,2
"MA",2925,23413,39,89,2092,9251,35,118966,NA,3913,1,1,NA,161,2,12
"MG",162,75111,680,2087,31875,8952,14,367653,4,9950,2,5,NA,2,12,4
"MS",56,19752,105,50,1942,23418,288,37972,NA,505,11,17,NA,NA,NA,NA
"MT",21,8283,8,133,2119,11809,7,83902,NA,991,NA,7,1,NA,NA,2
"PA",30,30602,78,25,2406,10618,3,98876,NA,305,NA,NA,NA,646,NA,25
"PB",258,21789,13,46,2750,8172,NA,85610,NA,1055,2,NA,NA,NA,NA,NA
"PE",128,56470,4,564,8924,37118,6,142848,11,1182,NA,13,NA,1,NA,NA
"PI",5,7917,8,22,966,NA,2,60206,NA,671,NA,NA,NA,NA,NA,NA
"PR",25,23693,515,343,9972,4513,10,163442,6,1333,51,2,NA,3,1,NA
"RJ",190,113065,106,1898,20644,173,102,198997,NA,15928,130,14,270,887,10,NA
"RN",8063,18978,55,383,862,1,2,78619,31,607,NA,116,41,7,1,4
"RO",16,10660,6,105,386,3391,2,25442,NA,59,NA,12,NA,1,NA,1
"RR",NA,1813,NA,NA,172,4157,NA,14769,NA,NA,NA,NA,NA,NA,NA,NA
"RS",220,91856,344,2984,29375,8454,142,221901,6,1819,22,10,26,807,11,7
"SC",38,12013,1385,392,6651,3529,1329,100076,NA,11196,1,12,NA,NA,NA,NA
"SE",11,2464,NA,43,626,251,NA,42444,NA,233,NA,NA,NA,NA,NA,NA
"SP",1,520217,9,4489,32053,3183,12,1401968,NA,45900,NA,2,NA,6254,NA,NA
"TO",11,11783,10,1,619,2178,2,27024,NA,615,NA,NA,NA,NA,NA,NA
